game_id,team,average_starting_field_position,season
3869,PHI,35.0000,2014
3870,BUF,21.9000,2014
3870,MIA,35.3333,2014
3871,CHI,27.1000,2014
3871,MIN,30.1000,2014
3872,CLE,26.6923,2014
3872,HOU,24.5385,2014
3873,GB,26.2000,2014
3873,PHI,31.6154,2014
3874,KC,32.1111,2014
3874,SEA,29.3333,2014
3875,DEN,17.7692,2014
3875,STL,32.6667,2014
3876,CIN,22.7500,2014
3876,NO,18.1429,2014
3877,NYG,27.1667,2014
3877,SF,34.2500,2014
3878,TB,32.5556,2014
3878,WAS,23.3636,2014
3879,ATL,27.3846,2014
3879,CAR,25.9231,2014
3880,OAK,18.1538,2014
3880,SD,31.3077,2014
3881,ARI,23.7273,2014
3881,DET,24.7000,2014
3882,IND,26.0000,2014
3882,NE,24.2727,2014
3883,PIT,22.8889,2014
3883,TEN,30.3333,2014
3884,KC,32.1667,2014
3884,OAK,25.4167,2014
3885,ATL,26.6000,2014
3885,CLE,28.3636,2014
3886,CHI,38.0000,2014
3886,TB,26.9333,2014
3887,IND,31.8333,2014
3887,JAC,27.1667,2014
3888,GB,23.9000,2014
3888,MIN,28.1111,2014
3889,DET,23.0000,2014
3889,NE,27.8333,2014
3890,PHI,37.0714,2014
3890,TEN,29.6250,2014
3891,CIN,29.9091,2014
3891,HOU,16.0000,2014
3892,SD,23.9091,2014
3892,STL,32.3636,2014
3893,ARI,20.4000,2014
3893,SEA,38.2727,2014
3894,DEN,35.6667,2014
3894,MIA,29.3000,2014
3895,SF,26.3846,2014
3895,WAS,26.1667,2014
3896,DAL,32.0909,2014
3896,NYG,24.8182,2014
3897,BUF,28.5000,2014
3897,NYJ,24.6667,2014
3898,BAL,21.4000,2014
3898,NO,17.5000,2014
3899,CHI,27.6667,2014
3899,DET,22.8182,2014
3900,DAL,24.5000,2014
3900,PHI,30.9167,2014
3901,SEA,32.9000,2014
3901,SF,20.5000,2014
3902,BUF,38.0769,2014
3902,CLE,22.9286,2014
3903,IND,22.7692,2014
3903,WAS,33.0000,2014
3904,OAK,17.2000,2014
3904,STL,39.5714,2014
3905,CAR,22.4167,2014
3905,MIN,33.6667,2014
3906,NO,29.6364,2014
3906,PIT,21.9167,2014
3907,CIN,28.5000,2014
3907,TB,32.6667,2014
3908,JAC,26.0000,2014
3908,NYG,26.2308,2014
3909,BAL,37.1111,2014
3909,SD,22.1111,2014
3910,HOU,36.5385,2014
3910,TEN,24.8333,2014
3911,ARI,19.1000,2014
3911,ATL,35.0000,2014
3912,GB,26.4444,2014
3912,NE,26.4444,2014
3913,DEN,43.6923,2014
