Team,Year,ResponsiveRev,TicketRevFB,ContribsFB,ConcessFB,SponsFB,CampsFB
UNLV,2014,11200965,1515785,7940514,877731,866935,0
Utah,2010,10808678,5515519,3237178,857229,1198752,0
Utah,2011,16206874,8241892,5143912,942130,1878940,0
Utah,2012,18054615,9052422,5682138,1061432,2258623,0
Utah,2013,20079553,9904863,5996916,1158381,2852077,167316
Utah,2014,24510061,11159146,9967838,272650,2918487,191940
Utah State,2010,1182992,542328,351012,14298,275354,0
Utah State,2011,1536918,938014,325513,15440,257951,0
Utah State,2012,3330892,1692880,167306,365533,1105173,0
Utah State,2013,2463325,1443280,1020045,0,0,0
Utah State,2014,4562654,1468098,3089556,0,5000,0
UTEP,2010,3713032,1433545,1208646,228436,818015,24390
UTEP,2011,3929796,1645002,1115837,311393,834294,23270
UTEP,2012,3226042,1070699,1121881,149038,872637,11787
UTEP,2013,3866978,1558050,1223527,178964,897127,9310
UTEP,2014,5504905,929354,3382825,296738,885011,10977
Virginia,2010,14141593,9877439,3817001,438367,0,8786
Virginia,2011,11424229,8049704,2875457,493313,0,5755
Virginia,2012,10689495,8700227,1448250,523959,0,17059
Virginia,2013,11720751.48,8858509,2340044.2,513681.93,0,8516.35
Virginia,2014,37456423,11558466,25125724,755328,0,16905
Virginia Tech,2010,24307197,13990100,8711428,1079261,526408,0
Virginia Tech,2011,27171706,16339537,9026362,1225272,580535,0
Virginia Tech,2012,24405861.54,13832551,8704140.5,1232219.4,636950.64,0
Virginia Tech,2013,25659727,14259840,9003612,1232870,1163405,0
Virginia Tech,2014,31425628,12862447,16333821,1259439,969921,0
Washington,2010,25655996,17388864,6383399,1045382,783800,54551
Washington,2011,28382843,16593182,9857660,891759,989600,50642
Washington,2012,38745351,18445428,18000740,1336731,907000,55452
Washington,2013,38152903,15919968,21024004,309301,838000,61630
Washington,2014,52609825,24733983,24031168,2912035,865000,67639
Washington State,2010,4457807,2810305,1014207,0,508215,125080
Washington State,2011,4445431,2823314,1117783,0,383521,120813
Washington State,2012,6606127,4371967,1695375,0,418750,120035
Washington State,2013,8433474,5737401,2225051,0,435748,35274
Washington State,2014,12525670,5023652,7017691,0,470107,14220
Western Kentucky,2010,909378,553166,314072,0,0,42140
Western Kentucky,2011,757713,505284,227808,0,0,24621
Western Kentucky,2012,851141,588541,192619,0,0,69981
Western Kentucky,2013,1698606,802657,860694,0,0,35255
Western Kentucky,2014,3311748,978068,2270487,0,0,63193
Western Michigan,2010,1509487,916198,60563,7325,505344,20057
Western Michigan,2011,1284719,785443,92426,6806,383934,16110
Western Michigan,2012,1415354,852478,72514,10779,455098,24485
Western Michigan,2013,1440258,830036,59282,12680,508795,29465
Western Michigan,2014,1562327,895541,618220,11887,11887,24792
Wisconsin,2010,25444662,16870290,6333832,1873729,194910,171901
Wisconsin,2011,27674566,18285170,7126375,1878366,193348,191307
Wisconsin,2012,30873263,18332242,9989305,2136280,206705,208731
Wisconsin,2013,32477746,19080365,10997567,1958297,229221,212296
Wisconsin,2014,58553233,18660405,38456619,935562,354210,146437
Wyoming,2010,2869567,2588498,55144,225925,0,0
Wyoming,2011,2704480,2431320,55000,218160,0,0
Wyoming,2012,4142641,3437941,471779,232921,0,0
Wyoming,2013,2460601,2242308,25255,193038,0,0
Wyoming,2014,7314235,2372939,4744039,197257,0,0
